Proprietar vand apart 2 camere supefinisat Prosper Sebastian,119 000 €,"Bucuresti, Sectorul 5",,https://www.olx.ro/d/oferta/proprietar-vand-apart-2-camere-supefinisat-prosper-sebastian-IDjSnd3.html
"Apartament 3 Camere |70,9Mp | Incalzire In Pardoseala | Comision 0%!!",90 309 €,Popesti,71 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-70-9mp-incalzire-in-pardoseala-comision-0-IDF7mC.html
"Vanzare apartament 3 camere spatios, zona Rahova piata",115 000 €,"Bucuresti, Sectorul 5",65 m²,https://www.storia.ro/ro/oferta/vanzare-apartament-3-camere-spatios-zona-rahova-piata-IDDUJI.html
Apartament 3 camere Lujerului Nemobilat A450,105 999 €,"Bucuresti, Sectorul 6",77 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-lujerului-nemobilat-a450-IDEYuw.html
Ansamblu Premium Metrou Teclu Pret promo Titan Pallady ikea Investitie,67 479 €,"Bucuresti, Sectorul 3",46 m²,https://www.storia.ro/ro/oferta/ansamblu-premium-metrou-teclu-pret-promo-titan-pallady-ikea-investitie-IDFbt8.html
"AP 2cam 2bai 61m.p, incalz pardoseala, tripan ,stradal Sos Giurgiului","82 900 €
Prețul e negociabil","Bucuresti, Sectorul 4",61 m²,https://www.olx.ro/d/oferta/ap-2cam-2bai-61m-p-incalz-pardoseala-tripan-stradal-sos-giurgiului-IDjzJlf.html
"Centrul Vechi, old town - airbnb - venituri 2000 eur/luna","128 500 €
Prețul e negociabil","Bucuresti, Sectorul 4",44 m²,https://www.olx.ro/d/oferta/centrul-vechi-old-town-airbnb-venituri-2000-eur-luna-IDjv0jq.html
Garsoniera Militari Residence aprilie 2026,46 500 €,"Bucuresti, Sectorul 6",35 m²,https://www.storia.ro/ro/oferta/garsoniera-militari-residence-aprilie-2026-IDEKaW.html
Apartament 4 camere Colentina B4,119 999 €,"Bucuresti, Sectorul 2",91 m²,https://www.storia.ro/ro/oferta/apartament-4-camere-colentina-b4-IDEwPk.html
Sector 4-Metrou Aparatorii Patriei-Garsoniera decomandata,47 706 €,"Bucuresti, Sectorul 4",37 m²,https://www.storia.ro/ro/oferta/sector-4-metrou-aparatorii-patriei-garsoniera-decomandata-IDEzYp.html
Ap. 2 cam. aprilie 2026 zona Militari Residence,69 800 €,"Bucuresti, Sectorul 6",54 m²,https://www.storia.ro/ro/oferta/ap-2-cam-aprilie-2026-zona-militari-residence-IDEKba.html
Proprietar | 2 camere | 13 Septembrie | Parter | 60 mp | Beton armat,146 000 €,"Bucuresti, Sectorul 5",60 m²,https://www.storia.ro/ro/oferta/proprietar-2-camere-13-septembrie-parter-60-mp-beton-armat-IDF4oS.html
Apartament 3 camere-mobilat /utilat-Militari Residence-Comision 0%,99 999 €,"Bucuresti, Sectorul 6",68 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-mobilat-utilat-militari-residence-comision-0-IDFkQp.html
Apartamente Exclusiviste Bragadiru!,76 500 €,Bragadiru,53 m²,https://www.storia.ro/ro/oferta/apartamente-exclusiviste-bragadiru-IDAn03.html
"Vanzare apartament 3 camere decomandat,",100 000 €,Dobroesti,80 m²,https://www.storia.ro/ro/oferta/vanzare-apartament-3-camere-decomandat-IDEruR.html
Berceni-Aparatorii Patriei-Apartament 3 camere-TVA 21% INCLUS,108 628 €,"Bucuresti, Sectorul 4",84 m²,https://www.storia.ro/ro/oferta/berceni-aparatorii-patriei-apartament-3-camere-tva-21-inclus-IDElDz.html
